Straftat,Stadt,,Opfer insg.,Opfer M,Opfer W,M bis unter 6,W bis unter 6,M  6 bis unter 14,W  6 bis unter 14,M 14 bis unter 18,W 14 bis unter 18,M 18 bis unter 21,W 18 bis unter 21,M 21 bis unter 60,W 21 bis unter 60,M 60 und �lter,W 60 und �lter
Straftaten insgesamt,Heilbronn,vers.,104,79,25,1,0,1,0,5,0,4,0,64,19,4,6
Straftaten insgesamt,Heilbronn,insg.,1.652,1.030,622,15,3,36,24,53,48,72,53,786,455,68,39
Straftaten insgesamt,Herne,voll.,2.384,1.235,1.149,10,9,84,63,105,104,111,122,841,782,84,69
Straftaten insgesamt,Herne,vers.,147,88,59,1,2,3,6,7,3,13,4,55,38,9,6
Straftaten insgesamt,Herne,insg.,2.531,1.323,1.208,11,11,87,69,112,107,124,126,896,820,93,75
Straftaten insgesamt,Hildesheim,voll.,1.673,896,777,10,7,43,56,60,70,66,83,660,525,57,36
Straftaten insgesamt,Hildesheim,vers.,110,65,45,0,0,1,3,11,2,2,3,45,35,6,2
Straftaten insgesamt,Hildesheim,insg.,1.783,961,822,10,7,44,59,71,72,68,86,705,560,63,38
Straftaten insgesamt,Ingolstadt,voll.,1.739,1.034,705,17,11,49,41,63,52,78,41,778,516,49,44
Straftaten insgesamt,Ingolstadt,vers.,180,126,54,2,1,13,2,4,7,10,4,87,37,10,3
Straftaten insgesamt,Ingolstadt,insg.,1.919,1.160,759,19,12,62,43,67,59,88,45,865,553,59,47
Straftaten insgesamt,Jena,voll.,1.255,813,442,8,3,45,29,27,51,55,53,650,286,28,20
Straftaten insgesamt,Jena,vers.,115,84,31,7,0,0,2,5,0,8,3,60,23,4,3
Straftaten insgesamt,Jena,insg.,1.370,897,473,15,3,45,31,32,51,63,56,710,309,32,23
Straftaten insgesamt,Kaiserslautern,voll.,2.485,1.550,935,15,11,47,62,149,82,173,96,1.088,628,78,56
Straftaten insgesamt,Kaiserslautern,vers.,238,156,82,4,2,5,1,13,9,11,9,111,56,12,5
Straftaten insgesamt,Kaiserslautern,insg.,2.723,1.706,1.017,19,13,52,63,162,91,184,105,1.199,684,90,61
Straftaten insgesamt,Karlsruhe,voll.,3.360,2.113,1.247,14,12,89,74,103,84,173,108,1.590,888,144,81
Straftaten insgesamt,Karlsruhe,vers.,278,203,75,35,1,8,7,10,1,10,7,128,49,12,10
Straftaten insgesamt,Karlsruhe,insg.,3.638,2.316,1.322,49,13,97,81,113,85,183,115,1.718,937,156,91
Straftaten insgesamt,Kassel,voll.,3.160,1.836,1.324,24,17,65,69,124,104,152,105,1.358,968,113,61
Straftaten insgesamt,Kassel,vers.,213,136,77,3,0,3,2,5,4,14,6,99,59,12,6
Straftaten insgesamt,Kassel,insg.,3.373,1.972,1.401,27,17,68,71,129,108,166,111,1.457,1.027,125,67
Straftaten insgesamt,Kiel,voll.,3.885,2.377,1.508,16,5,86,83,160,106,184,134,1.828,1.091,103,89
Straftaten insgesamt,Kiel,vers.,240,140,100,0,1,3,7,12,5,11,12,98,63,16,12
Straftaten insgesamt,Kiel,insg.,4.125,2.517,1.608,16,6,89,90,172,111,195,146,1.926,1.154,119,101
Straftaten insgesamt,Koblenz,voll.,2.204,1.387,817,4,6,30,33,84,56,136,74,1.073,605,60,43
Straftaten insgesamt,Koblenz,vers.,157,98,59,0,0,1,1,6,6,7,4,74,44,10,4
Straftaten insgesamt,Koblenz,insg.,2.361,1.485,876,4,6,31,34,90,62,143,78,1.147,649,70,47
Straftaten insgesamt,K�ln,voll.,20.896,12.172,8.724,73,64,429,351,671,556,875,676,9.346,6.553,778,524
Straftaten insgesamt,K�ln,vers.,1.531,962,569,6,4,52,22,52,41,77,36,705,412,70,54
Straftaten insgesamt,K�ln,insg.,22.427,13.134,9.293,79,68,481,373,723,597,952,712,10.051,6.965,848,578
Straftaten insgesamt,Krefeld,voll.,3.801,2.114,1.687,18,13,131,76,152,131,154,132,1.516,1.236,143,99
Straftaten insgesamt,Krefeld,vers.,210,132,78,1,0,6,0,6,7,16,6,96,57,7,8
Straftaten insgesamt,Krefeld,insg.,4.011,2.246,1.765,19,13,137,76,158,138,170,138,1.612,1.293,150,107
Straftaten insgesamt,Leipzig,voll.,8.125,4.975,3.150,50,47,216,181,304,273,399,248,3.731,2.214,275,187
Straftaten insgesamt,Leipzig,vers.,506,364,142,3,1,10,7,20,10,17,9,290,105,24,10
Straftaten insgesamt,Leipzig,insg.,8.631,5.339,3.292,53,48,226,188,324,283,416,257,4.021,2.319,299,197
Straftaten insgesamt,Leverkusen,voll.,2.351,1.283,1.068,7,12,51,49,86,95,106,77,945,778,88,57
Straftaten insgesamt,Leverkusen,vers.,177,117,60,0,0,4,4,14,4,10,1,81,45,8,6
Straftaten insgesamt,Leverkusen,insg.,2.528,1.400,1.128,7,12,55,53,100,99,116,78,1.026,823,96,63
Straftaten insgesamt,L�beck,voll.,4.095,2.488,1.607,16,10,94,95,161,131,161,131,1.881,1.135,175,105
Straftaten insgesamt,L�beck,vers.,291,198,93,6,1,8,7,9,6,11,8,149,62,15,9
Straftaten insgesamt,L�beck,insg.,4.386,2.686,1.700,22,11,102,102,170,137,172,139,2.030,1.197,190,114
Straftaten insgesamt,Ludwigshafen am Rhein,voll.,3.279,1.910,1.369,17,19,149,93,153,101,143,86,1.321,980,127,90
Straftaten insgesamt,Ludwigshafen am Rhein,vers.,286,205,81,1,0,17,5,18,11,17,6,135,54,17,5
Straftaten insgesamt,Ludwigshafen am Rhein,insg.,3.565,2.115,1.450,18,19,166,98,171,112,160,92,1.456,1.034,144,95
Straftaten insgesamt,Magdeburg,voll.,3.687,2.189,1.498,22,18,125,117,188,143,168,121,1.556,994,130,105
Straftaten insgesamt,Magdeburg,vers.,312,209,103,1,1,7,7,13,7,16,12,162,71,10,5
Straftaten insgesamt,Magdeburg,insg.,3.999,2.398,1.601,23,19,132,124,201,150,184,133,1.718,1.065,140,110
Straftaten insgesamt,Mainz,voll.,2.975,1.902,1.073,9,9,71,61,136,94,176,105,1.411,744,99,60
Straftaten insgesamt,Mainz,vers.,230,162,68,1,2,8,0,14,5,9,4,118,46,12,11
Straftaten insgesamt,Mainz,insg.,3.205,2.064,1.141,10,11,79,61,150,99,185,109,1.529,790,111,71
Straftaten insgesamt,Mannheim,voll.,4.184,2.396,1.788,22,16,100,84,144,119,179,134,1.803,1.333,148,102
Straftaten insgesamt,Mannheim,vers.,238,168,70,3,0,10,4,9,2,10,5,122,52,14,7
Straftaten insgesamt,Mannheim,insg.,4.422,2.564,1.858,25,16,110,88,153,121,189,139,1.925,1.385,162,109
Straftaten insgesamt,Moers,voll.,1.267,651,616,20,15,38,41,50,51,52,71,441,401,50,37
Straftaten insgesamt,Moers,vers.,85,61,24,1,0,5,1,6,5,11,0,33,13,5,5
Straftaten insgesamt,Moers,insg.,1.352,712,640,21,15,43,42,56,56,63,71,474,414,55,42
Straftaten insgesamt,M�nchengladbach,voll.,3.722,1.993,1.729,21,14,76,86,135,115,161,155,1.470,1.265,130,94
Straftaten insgesamt,M�nchengladbach,vers.,234,156,78,1,1,10,2,12,9,8,8,108,55,17,3
Straftaten insgesamt,M�nchengladbach,insg.,3.956,2.149,1.807,22,15,86,88,147,124,169,163,1.578,1.320,147,97
Straftaten insgesamt,M�lheim an der Ruhr,voll.,1.641,876,765,8,8,56,39,91,53,51,62,597,546,73,57
Straftaten insgesamt,M�lheim an der Ruhr,vers.,129,87,42,1,0,4,2,6,4,7,2,59,32,10,2
Straftaten insgesamt,M�lheim an der Ruhr,insg.,1.770,963,807,9,8,60,41,97,57,58,64,656,578,83,59
Straftaten insgesamt,M�nchen,voll.,16.032,9.949,6.083,86,84,315,281,577,397,717,486,7.746,4.437,508,398
Straftaten insgesamt,M�nchen,vers.,1.620,1.126,494,10,12,19,17,42,39,65,33,927,355,63,38
Straftaten insgesamt,M�nchen,insg.,17.652,11.075,6.577,96,96,334,298,619,436,782,519,8.673,4.792,571,436
Straftaten insgesamt,M�nster,voll.,4.215,2.469,1.746,22,12,177,68,166,125,219,184,1.736,1.245,149,112
Straftaten insgesamt,M�nster,vers.,291,189,102,3,0,7,4,13,6,16,8,133,74,17,10
Straftaten insgesamt,M�nster,insg.,4.506,2.658,1.848,25,12,184,72,179,131,235,192,1.869,1.319,166,122
Straftaten insgesamt,Neuss,voll.,1.826,1.001,825,9,15,40,46,90,56,104,73,693,584,65,51
Straftaten insgesamt,Neuss,vers.,124,66,58,2,4,6,4,8,6,2,3,39,37,9,4
Straftaten insgesamt,Neuss,insg.,1.950,1.067,883,11,19,46,50,98,62,106,76,732,621,74,55
Straftaten insgesamt,N�rnberg,voll.,7.029,4.358,2.671,25,36,170,162,228,204,331,223,3.389,1.906,215,140
Straftaten insgesamt,N�rnberg,vers.,729,518,211,5,1,31,13,18,17,31,13,402,152,31,15
Straftaten insgesamt,N�rnberg,insg.,7.758,4.876,2.882,30,37,201,175,246,221,362,236,3.791,2.058,246,155
Straftaten insgesamt,Oberhausen,voll.,2.635,1.372,1.263,10,18,91,71,116,109,124,96,943,885,88,84
Straftaten insgesamt,Oberhausen,vers.,161,99,62,0,0,5,6,11,8,10,4,66,40,7,4
Straftaten insgesamt,Oberhausen,insg.,2.796,1.471,1.325,10,18,96,77,127,117,134,100,1.009,925,95,88
Straftaten insgesamt,Offenbach am Main,voll.,1.343,681,662,5,6,36,41,46,54,39,46,515,479,40,36
Straftaten insgesamt,Offenbach am Main,vers.,93,60,33,1,4,7,1,5,2,3,1,40,24,4,1
Straftaten insgesamt,Offenbach am Main,insg.,1.436,741,695,6,10,43,42,51,56,42,47,555,503,44,37
Straftaten insgesamt,Oldenburg (Oldenburg),voll.,2.171,1.241,930,10,12,48,63,81,81,116,89,917,628,69,57
Straftaten insgesamt,Oldenburg (Oldenburg),vers.,167,111,56,2,0,2,4,3,5,8,3,89,40,7,4
Straftaten insgesamt,Oldenburg (Oldenburg),insg.,2.338,1.352,986,12,12,50,67,84,86,124,92,1.006,668,76,61
Straftaten insgesamt,Osnabr�ck,voll.,2.786,1.619,1.167,13,14,57,63,110,118,115,97,1.242,783,82,92
Straftaten insgesamt,Osnabr�ck,vers.,137,101,36,0,0,0,1,6,4,5,2,84,25,6,4
Straftaten insgesamt,Osnabr�ck,insg.,2.923,1.720,1.203,13,14,57,64,116,122,120,99,1.326,808,88,96
Straftaten insgesamt,Paderborn,voll.,2.098,1.280,818,20,8,40,41,106,66,115,75,924,586,75,42
Straftaten insgesamt,Paderborn,vers.,169,111,58,1,0,4,4,7,4,7,6,80,39,12,5
Straftaten insgesamt,Paderborn,insg.,2.267,1.391,876,21,8,44,45,113,70,122,81,1.004,625,87,47
Straftaten insgesamt,Pforzheim,voll.,1.974,1.188,786,17,8,64,38,85,71,89,73,869,557,64,39
Straftaten insgesamt,Pforzheim,vers.,128,94,34,2,0,1,2,10,3,8,0,72,28,1,1
Straftaten insgesamt,Pforzheim,insg.,2.102,1.282,820,19,8,65,40,95,74,97,73,941,585,65,40
Straftaten insgesamt,Potsdam,voll.,2.257,1.310,947,9,16,91,83,94,85,117,61,926,627,73,75
Straftaten insgesamt,Potsdam,vers.,146,108,38,1,1,4,4,7,1,8,2,76,25,12,5
Straftaten insgesamt,Potsdam,insg.,2.403,1.418,985,10,17,95,87,101,86,125,63,1.002,652,85,80
Straftaten insgesamt,Recklinghausen,voll.,1.955,1.149,806,5,3,62,45,70,55,84,57,851,593,77,53
Straftaten insgesamt,Recklinghausen,vers.,130,68,62,1,0,10,0,3,1,3,1,46,47,5,13
Straftaten insgesamt,Recklinghausen,insg.,2.085,1.217,868,6,3,72,45,73,56,87,58,897,640,82,66
Straftaten insgesamt,Regensburg,voll.,1.983,1.249,734,6,4,38,32,91,45,125,67,928,536,61,50
Straftaten insgesamt,Regensburg,vers.,193,135,58,3,1,3,3,4,6,15,4,106,41,4,3
Straftaten insgesamt,Regensburg,insg.,2.176,1.384,792,9,5,41,35,95,51,140,71,1.034,577,65,53
Straftaten insgesamt,Remscheid,voll.,1.467,804,663,10,9,50,38,68,53,77,53,546,474,53,36
Straftaten insgesamt,Remscheid,vers.,75,55,20,0,0,8,1,11,2,5,1,27,15,4,1
Straftaten insgesamt,Remscheid,insg.,1.542,859,683,10,9,58,39,79,55,82,54,573,489,57,37
Straftaten insgesamt,Reutlingen,voll.,1.473,925,548,6,5,38,37,96,52,87,66,659,353,39,35
Straftaten insgesamt,Reutlingen,vers.,82,61,21,1,0,2,2,3,0,9,2,44,16,2,1
Straftaten insgesamt,Reutlingen,insg.,1.555,986,569,7,5,40,39,99,52,96,68,703,369,41,36
Straftaten insgesamt,Rostock,voll.,2.883,1.696,1.187,32,29,124,110,133,125,136,96,1.167,755,104,72
Straftaten insgesamt,Rostock,vers.,217,134,83,6,0,4,15,8,8,2,4,101,49,13,7
Straftaten insgesamt,Rostock,insg.,3.100,1.830,1.270,38,29,128,125,141,133,138,100,1.268,804,117,79
Straftaten insgesamt,Saarbr�cken,voll.,4.261,2.576,1.685,14,5,97,85,164,117,185,153,1.933,1.199,183,126
Straftaten insgesamt,Saarbr�cken,vers.,341,227,114,1,2,9,7,14,6,13,6,171,82,19,11
Straftaten insgesamt,Saarbr�cken,insg.,4.602,2.803,1.799,15,7,106,92,178,123,198,159,2.104,1.281,202,137
Straftaten insgesamt,Salzgitter,voll.,1.607,930,677,7,11,78,44,110,62,73,51,623,480,39,29
Straftaten insgesamt,Salzgitter,vers.,84,44,40,0,0,1,3,6,1,2,3,30,31,5,2
Straftaten insgesamt,Salzgitter,insg.,1.691,974,717,7,11,79,47,116,63,75,54,653,511,44,31
Straftaten insgesamt,Schwerin,voll.,1.679,1.018,661,14,11,82,41,72,75,94,61,696,420,60,53
Straftaten insgesamt,Schwerin,vers.,134,88,46,3,1,8,6,3,5,7,2,60,29,7,3
Straftaten insgesamt,Schwerin,insg.,1.813,1.106,707,17,12,90,47,75,80,101,63,756,449,67,56
Straftaten insgesamt,Siegen,voll.,1.693,984,709,6,2,42,39,59,70,105,65,724,503,48,30
Straftaten insgesamt,Siegen,vers.,96,66,30,1,0,3,2,4,3,6,3,49,22,3,0
Straftaten insgesamt,Siegen,insg.,1.789,1.050,739,7,2,45,41,63,73,111,68,773,525,51,30
Straftaten insgesamt,Solingen,voll.,1.934,1.004,930,5,20,79,46,97,72,81,85,656,646,86,61
Straftaten insgesamt,Solingen,vers.,138,81,57,0,0,4,2,9,3,6,6,56,40,6,6
Straftaten insgesamt,Solingen,insg.,2.072,1.085,987,5,20,83,48,106,75,87,91,712,686,92,67
Straftaten insgesamt,Stuttgart,voll.,11.346,7.366,3.980,66,33,217,209,327,313,702,352,5.734,2.844,320,229
Straftaten insgesamt,Stuttgart,vers.,986,704,282,4,0,7,10,26,21,54,28,569,194,44,29
Straftaten insgesamt,Stuttgart,insg.,12.332,8.070,4.262,70,33,224,219,353,334,756,380,6.303,3.038,364,258
Straftaten insgesamt,Trier,voll.,1.763,1.084,679,3,2,21,27,81,52,122,74,801,484,56,40
Straftaten insgesamt,Trier,vers.,116,75,41,0,0,0,0,3,3,11,5,59,30,2,3
Straftaten insgesamt,Trier,insg.,1.879,1.159,720,3,2,21,27,84,55,133,79,860,514,58,43
Straftaten insgesamt,Ulm,voll.,1.597,963,634,6,4,33,44,52,44,76,51,740,453,56,38
Straftaten insgesamt,Ulm,vers.,106,66,40,4,3,2,3,8,3,2,1,48,24,2,6
Straftaten insgesamt,Ulm,insg.,1.703,1.029,674,10,7,35,47,60,47,78,52,788,477,58,44
Straftaten insgesamt,Wiesbaden,voll.,4.091,2.244,1.847,22,22,88,98,151,128,244,141,1.589,1.340,150,118
Straftaten insgesamt,Wiesbaden,vers.,271,160,111,3,2,11,3,18,8,6,6,112,84,10,8
Straftaten insgesamt,Wiesbaden,insg.,4.362,2.404,1.958,25,24,99,101,169,136,250,147,1.701,1.424,160,126
Straftaten insgesamt,Wolfsburg,voll.,1.480,863,617,11,14,50,44,57,53,56,51,627,416,62,39
